Field of study,University
History; European studies,Harvard
Mechanical Engineering,University of Texas at Austin
,
Communication Sciences and Disorders,NYU
MBA,Hult Business School
,
"Computer Science, Explainable AI, Human-AI collaboration",MIT-IBM
Electrical and Computer Engineering,University of Washington
Business Economics,Hofstra
Business Technology Managment,New York University
Neuroscience,MIT
"Mechanical Engineering, Concentration in Energy Technologies",Boston University
Politics and Economics,NYU
Economics,Baruch College
BUSINESS ADMINISTRATION,HULT INTERNATIONAL BUSINESS SCHOOL
Master of Business Administration,Hult International Business School
Engineering Management,Duke University
"Earth, Atmospheric, and Planetary Sciences",MIT
Electrical Engineering,BU
,
M.Sc. Resource Efficiency in Architecture and Planning,Hafencity Universität
MSEM,Trine university
Biochemistry,MIT
"Engineering, MBA",MIT
Mechanical Engineering,CCSU
,
Engineering management,Trine university
Electrical Engineering,Delft University of Technology
Mechanical Engineering,Ernst Abbe Hochschule Jena
